avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label
0,100001,100001,100001,100001,715346.0538,0.1760718,1
0,100001,100001,100001,100001,715346.0538,0.2124081,1
0,100001,100001,100001,100001,715346.0538,0.2540871,1
0,100001,100001,100001,100001,715346.0538,0.2486988,1
0,100001,100001,100001,100001,715346.0538,0.3968019,1
4,1393.511,4746.866,118.011,2390.892045,6268.298213,0.4348117,1
0,100001,100001,100001,100001,715346.0538,0.3753573,1
0,100001,100001,100001,100001,715346.0538,0.314321,1
0,100001,100001,100001,100001,715346.0538,0.3281641,1
0,100001,100001,100001,100001,715346.0538,0.1900568,1
2,2745.035,4746.866,743.203,2001.8315,13504.06203,0.2275212,1
4,253.211,743.208,55.462,354.0706821,870.6929065,0.25259,1
26,40.236,121.427,13.907,56.04424609,92.36917274,0.2524755,1
11,94.7,288.136,14.494,140.6712673,267.7659153,0.2626532,1
6,168.921,438.048,29.904,207.4996358,538.3672353,0.2638631,1
10,100.041,180.539,13.35,83.61361453,286.278107,0.3936831,1
25,40.262,127.931,14.026,59.649714,92.44502047,0.2810139,1
5,288.372,1139.129,18.422,584.8995149,1014.895615,0.3979248,1
2,593.693,1139.129,48.257,545.436,2355.815402,0.4203739,1
7,158.842,313.639,13.816,149.9380334,500.1727333,0.5364544,1
0,100001,100001,100001,100001,715346.0538,0.4096052,1
0,100001,100001,100001,100001,715346.0538,0.271213,1
0,100001,100001,100001,100001,715346.0538,0.150661,1
0,100001,100001,100001,100001,715346.0538,0.1964558,1
0,100001,100001,100001,100001,715346.0538,0.2432236,1
0,100001,100001,100001,100001,715346.0538,0.2478891,1
0,100001,100001,100001,100001,715346.0538,0.2645589,1
0,100001,100001,100001,100001,715346.0538,0.1931799,1
6,1424.51,8055.411,62.925,4275.952024,6427.211492,0.1494226,1
0,100001,100001,100001,100001,715346.0538,0.1503897,1
0,100001,100001,100001,100001,715346.0538,0.1958452,1
0,100001,100001,100001,100001,715346.0538,0.1119098,1
0,100001,100001,100001,100001,715346.0538,0.1119098,1
0,100001,100001,100001,100001,715346.0538,0.0686755,1
0,100001,100001,100001,100001,715346.0538,0.0604501,1
0,100001,100001,100001,100001,715346.0538,0.0695258,1
0,100001,100001,100001,100001,715346.0538,0.0820268,1
0,100001,100001,100001,100001,715346.0538,0.0812415,1
2,4810.689,8055.411,1565.966,3244.7225,25342.93883,0.1226101,1
0,100001,100001,100001,100001,715346.0538,0.1226101,1
2,907.101,1565.966,248.235,658.8655,3838.351256,0.1121379,1
4,302.727,556.147,37.124,259.5353298,1074.554228,0.1516708,1
9,111.85,369.403,11.06,184.7980328,327.825134,0.1643188,1
36,27.763,136.156,6.016,69.71178052,57.33430222,0.1638819,1
0,100001,100001,100001,100001,715346.0538,0.1672746,1
0,100001,100001,100001,100001,715346.0538,0.2976737,1
6,500.516,2646.105,28.09,1395.274228,1932.98979,0.295135,1
0,100001,100001,100001,100001,715346.0538,0.2300903,1
0,100001,100001,100001,100001,715346.0538,0.1942382,1
0,100001,100001,100001,100001,715346.0538,0.2533045,1
0,100001,100001,100001,100001,715346.0538,0.2129438,1
0,100001,100001,100001,100001,715346.0538,0.2011078,1
0,100001,100001,100001,100001,715346.0538,0.2766024,1
0,100001,100001,100001,100001,715346.0538,0.2967086,1
0,100001,100001,100001,100001,715346.0538,0.3549957,1
0,100001,100001,100001,100001,715346.0538,0.34241,1
0,100001,100001,100001,100001,715346.0538,0.3402094,1
0,100001,100001,100001,100001,715346.0538,0.3492565,1
0,100001,100001,100001,100001,715346.0538,0.3173694,1
0,100001,100001,100001,100001,715346.0538,0.269866,1
2,6809.703,10973.3,2646.105,4163.5975,37344.18393,0.6784455,1
0,100001,100001,100001,100001,715346.0538,0.6749288,1
0,100001,100001,100001,100001,715346.0538,0.6518337,1
0,100001,100001,100001,100001,715346.0538,0.2372837,1
0,100001,100001,100001,100001,715346.0538,0.1687767,1
0,100001,100001,100001,100001,715346.0538,0.2087528,1
0,100001,100001,100001,100001,715346.0538,0.1768272,1
0,100001,100001,100001,100001,715346.0538,0.1492064,1
0,100001,100001,100001,100001,715346.0538,0.1374845,1
0,100001,100001,100001,100001,715346.0538,0.147149,1
0,100001,100001,100001,100001,715346.0538,0.1270766,1
2,5598.062,10973.3,222.824,5375.238,30018.09422,0.1319103,1
0,100001,100001,100001,100001,715346.0538,0.1431548,1
3,789.548,2134.75,11.07,1074.369052,3272.843492,0.1229617,1
0,100001,100001,100001,100001,715346.0538,0.1201629,1
0,100001,100001,100001,100001,715346.0538,0.1460904,1
2,1304.97,2134.75,475.189,829.7805,5816.794992,0.1278354,1
6,187.633,475.189,56.177,214.2973749,610.2519803,0.1337924,1
6,176.202,307.222,107.359,101.530634,566.1925382,0.1454875,1
7,150.78,307.222,58.077,125.9240357,469.9066726,0.1285164,1
7,157.658,190.38,142.221,24.59105371,495.7115599,0.1371233,1
7,150.59,232.642,29.527,102.1799751,469.1965573,0.1456625,1
7,152.181,179.566,120.885,29.36221382,475.1474185,0.1293121,1
7,151.756,168.076,128.43,19.92590438,473.5567631,0.1249821,1
7,152.294,213.301,109.088,52.35927465,475.5704698,0.1477626,1
7,145.123,157.737,114.981,21.96864696,448.8284869,0.1273409,1
7,149.051,154.585,142.737,5.928277659,463.4501299,0.1298151,1
7,150.287,164.763,141.677,11.66654813,468.0644186,0.1668081,1
