avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,AppMotionToPhotonLatency,entropy_framerate,label
78,12.817,35.439,6.788,15.10509586,0.0360968,47.1663897,0
79,12.793,33.333,8.013,13.45264782,0.0361775,47.04347778,0
78,12.849,35.456,7.067,15.00246254,0.0362277,47.3303731,0
78,12.871,33.366,5.738,14.34242598,0.0361656,47.4431784,0
78,12.821,31.248,7.434,12.4878654,0.0360825,47.18688133,0
80,12.664,32.434,5.416,13.98426931,0.0361275,46.38394214,0
79,12.683,31.906,5.731,13.55842086,0.0361828,46.48096446,0
79,12.776,33.905,5.502,14.75396063,0.0361634,46.95645446,0
61,16.408,152.164,8.452,80.77347792,0.0360978,66.22806149,0
78,12.834,32.203,8.275,12.70493228,0.036173,47.25349155,0
79,12.786,34.192,7.901,13.98389992,0.0361055,47.0076407,0
78,12.847,33.955,7.837,13.86120298,0.0362992,47.32012077,0
52,19.577,115.017,9.766,58.14181273,0.0364407,84.0066258,0
23,44.412,58.88,29.075,14.90461124,0.0365469,243.0614416,0
22,46.138,119.056,17.017,52.56270047,0.0366502,255.0454918,0
52,19.297,64.738,6.936,30.43777808,0.0366056,82.40406925,0
78,12.821,31.368,5.086,13.50657222,0.0366775,47.18688133,0
63,16.044,141.97,4.627,76.21330266,0.0367502,64.23956578,0
80,12.496,30.203,5.203,12.85642315,0.0368236,45.52785709,0
79,12.672,32.855,4.999,14.38856695,0.0368018,46.42478863,0
80,12.502,30.046,4.499,13.06706518,0.0366829,45.55837571,0
80,12.651,30.995,4.332,13.64199195,0.0369651,46.31758214,0
80,12.523,28.87,3.724,12.76040834,0.0369875,45.66522356,0
80,12.511,32.494,4.199,14.54313502,0.0369595,45.60416142,0
81,12.482,30.389,4.431,13.28719317,0.0369197,45.45666316,0
79,12.688,31.321,4.191,13.87698693,0.0369824,46.50650348,0
79,12.771,32.317,6.285,13.55101064,0.0369463,46.93086557,0
80,12.538,29.631,5.103,12.57691442,0.036927,45.74157456,0
79,12.654,29.413,4.792,12.57556338,0.0367581,46.33289427,0
64,15.812,139.305,4.234,74.8651523,0.0368326,62.97837307,0
79,12.747,31.344,4.719,13.65764632,0.0368235,46.80807826,0
80,12.532,30.252,5.465,12.76933996,0.0369534,45.71103105,0
79,12.677,30.091,5.351,12.70816845,0.0369134,46.45032139,0
78,12.837,30.668,7.923,11.9682008,0.0369878,47.26886584,0
79,12.868,30.851,8.08,12.00577412,0.0370507,47.42779266,0
78,12.828,31.916,7.563,12.81366834,0.0369326,47.22274601,0
78,12.826,33.705,6.027,14.4235382,0.0368362,47.2124984,0
80,12.652,31.969,5.001,13.89818522,0.0368307,46.32268607,0
78,12.814,32.32,7.236,13.17070724,0.0369255,47.15102216,0
75,14.149,110.613,6.665,57.97485124,0.0369161,54.08636622,0
20,50.052,110.613,23.726,44.55342068,0.0367277,282.5613491,0
20,50.017,67.069,33.24,16.91468629,0.0367916,282.313285,0
20,50.949,67.127,34.1,16.514636,0.0367738,288.9308581,0
80,12.504,25.518,4.407,10.65050802,0.0367117,45.5685495,0
80,12.5139875,19.204,6.354,6.426821574,0.036722,45.61936179,0
80,12.512475,20.135,6.108,7.022308694,0.0367379,45.61166608,0
35,28.862,127.023,10.309,62.71888807,0.0562703,140.01243,1
16,62.94,249.219,13.362,124.3559196,0.0560686,376.1234779,1
31,33.768,88.554,10.096,40.24410339,0.0552842,171.4598845,1
16,63.67,197.242,8.865,96.89423903,0.0448432,381.5451402,1
0,100001,100001,100001,100001,0.0573441,1660982.1,1
0,100001,100001,100001,100001,0.0582085,1660982.1,1
17,195.83,2842.718,15.068,1582.94533,0.1835531,1490.943477,1
0,100001,100001,100001,100001,0.7614128,1660982.1,1
0,100001,100001,100001,100001,0.5101204,1660982.1,1
2,1452.907,2842.718,63.096,1389.811,0.5466126,15262.39087,1
4,256.14,395.023,63.096,166.6983338,0.3517591,2049.322033,1
9,133.244,304.076,18.025,143.9236863,0.3907507,940.4263931,1
7,142.901,214.713,15.186,101.0603024,0.5297367,1023.009997,1
2,521.136,862.07,180.201,340.9345,0.4508491,4703.521363,1
0,100001,100001,100001,100001,0.517098,1660982.1,1
0,100001,100001,100001,100001,0.3581679,1660982.1,1
2,1442.967,2023.863,862.07,580.8965,0.3051625,15143.68267,1
0,100001,100001,100001,100001,0.3109855,1660982.1,1
2,1044.027,2023.863,64.19,979.8365,0.3931412,10469.44357,1
0,100001,100001,100001,100001,0.3417742,1660982.1,1
20,86.192,783.238,7.119,427.099982,0.3565439,554.1699182,1
0,100001,100001,100001,100001,0.283119,1660982.1,1
0,100001,100001,100001,100001,0.2807617,1660982.1,1
2,1584.346,2385.451,783.238,801.1065,0.3253954,16841.07787,1
0,100001,100001,100001,100001,0.6766844,1660982.1,1
2,2975.877,3566.303,2385.451,590.426,0.6604493,34338.93986,1
0,100001,100001,100001,100001,0.6861681,1660982.1,1
0,100001,100001,100001,100001,0.3406267,1660982.1,1
0,100001,100001,100001,100001,0.3692517,1660982.1,1
2,1846.377,3566.303,126.451,1719.926,0.3702567,20034.07937,1
8,125.552,403.536,403.536,160.4941372,0.3764725,875.366272,1
0,100001,100001,100001,100001,0.3694457,1660982.1,1
4,446.801,1017.477,154.835,438.7608427,0.3794268,3933.407512,1
0,100001,100001,100001,100001,0.3620514,1660982.1,1
0,100001,100001,100001,100001,0.3513366,1660982.1,1
0,100001,100001,100001,100001,0.3308817,1660982.1,1
0,100001,100001,100001,100001,0.281639,1660982.1,1
2,2280.015,3542.553,1017.477,1262.538,0.255161,25433.17425,1
0,100001,100001,100001,100001,0.247234,1660982.1,1
0,100001,100001,100001,100001,0.2524844,1660982.1,1
0,100001,100001,100001,100001,0.2634851,1660982.1,1
2,1872.59,3542.553,202.627,1669.963,0.2876476,20356.58759,1
0,100001,100001,100001,100001,0.2873257,1660982.1,1
0,100001,100001,100001,100001,0.2758338,1660982.1,1
0,100001,100001,100001,100001,0.2812702,1660982.1,1
0,100001,100001,100001,100001,0.2861326,1660982.1,1
0,100001,100001,100001,100001,0.297237,1660982.1,1
0,100001,100001,100001,100001,0.323647,1660982.1,1
0,100001,100001,100001,100001,0.3136259,1660982.1,1
0,100001,100001,100001,100001,0.3222057,1660982.1,1
0,100001,100001,100001,100001,0.2449144,1660982.1,1
0,100001,100001,100001,100001,0.3180891,1660982.1,1
0,100001,100001,100001,100001,0.3360025,1660982.1,1
0,100001,100001,100001,100001,0.3348162,1660982.1,1
0,100001,100001,100001,100001,0.317184,1660982.1,1
0,100001,100001,100001,100001,0.2925235,1660982.1,1
0,100001,100001,100001,100001,0.2772986,1660982.1,1
0,100001,100001,100001,100001,0.2546566,1660982.1,1
0,100001,100001,100001,100001,0.2652515,1660982.1,1
0,100001,100001,100001,100001,0.2559532,1660982.1,1
0,100001,100001,100001,100001,0.2435459,1660982.1,1
0,100001,100001,100001,100001,0.2474837,1660982.1,1
0,100001,100001,100001,100001,0.2569855,1660982.1,1
