avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label
79,12.66,32.44,4.9,14.2,46.34820744,0.0308904,0
80,12.51,29.06,4.64,12.47,45.58381106,0.0310724,0
21,50,66.66,33.81,16.42,282.1928095,0.0311588,0
20,50.03,66.05,35,15.53,282.4337689,0.0311378,0
20,50,66.36,33.97,16.2,282.2211559,0.0310725,0
79,12.68,32,5.84,13.57,46.47074965,0.0311347,0
78,12.84,32.52,6.07,13.74,47.2586162,0.031159,0
78,12.84,31.93,6.33,13.31,47.2586162,0.0310627,0
80,12.5,30.53,5.4,12.96,45.56346255,0.0310122,0
80,12.49,31.43,4.78,13.71,45.51768514,0.0310091,0
64,15.77,127.97,4.76,68.18,62.75545627,0.0309902,0
79,12.71,32.29,4.92,14.1,46.59846747,0.0309932,0
80,12.54,29.58,3.72,13.15,45.77212222,0.0308872,0
78,12.81,29.13,7.29,11.36,47.15102216,0.0309631,0
79,12.65,29.87,5.29,12.62,46.30737462,0.0310111,0
79,12.65,33.05,4.9,14.54,46.33289427,0.030956,0
80,12.51,30.42,5.06,13.04,45.58889847,0.0309443,0
64,16.04,149.64,6.48,80.04,64.19599541,0.0310876,0
80,12.51,29.88,4.5,12.97,45.57363657,0.03109,0
80,12.51,32.41,4.21,14.49,45.60924929,0.0310723,0
80,12.5,29.93,4.83,12.86,45.54311588,0.0310153,0
53,19.37,132.83,5.99,69.69,82.81559878,0.0310557,0
21,49.55,66.85,33.52,16.67,278.9997182,0.0310892,0
20,49.97,67.16,33.96,16.6,281.9873116,0.0309288,0
20,50,67.52,29.18,19.19,282.1928095,0.0309842,0
21,48.98,88.67,15.2,36.77,274.986697,0.031021,0
20,50.03,66.7,33.89,16.41,282.3770696,0.0309634,0
37,27.27,73.07,4.3,35.01,130.057251,0.0309895,0
79,12.78,31.64,5.83,13.36,46.98204617,0.0310387,0
79,12.68,32.02,5.23,13.83,46.46564242,0.0310849,0
80,12.52,30.56,4.78,13.23,45.63977898,0.0311002,0
80,12.53,31.12,3.89,13.92,45.70594087,0.0310382,0
80,12.51,30.79,4.28,13.57,45.61433729,0.0309343,0
80,12.61,29.82,4.82,12.8,46.11351848,0.0310812,0
80,12.51,30.35,5.12,12.97,45.6194254,0.0309988,0
80,12.52,30.34,4.58,13.19,45.64995647,0.031027,0
80,12.51,30.18,4.95,12.95,45.58381106,0.0309542,0
80,12.51,30.75,4.6,13.41,45.58381106,0.0310722,0
79,13.93,127.02,4.8,68.08,52.95669041,0.031021,0
64,15.78,127.02,4.69,67.65,62.81564486,0.03106,0
79,12.65,30.46,5.08,13.03,46.33289427,0.0311391,0
80,12.53,31.06,4.02,13.83,45.68049169,0.0310789,0
81,12.5,31.06,3.69,13.97,45.52277106,0.0311714,0
81,12.46,29.75,3.8,13.21,45.35499684,0.0311268,0
79,12.66,30.79,5.41,13.07,46.36352163,0.0311035,0
80,12.53,30.48,5.02,13.09,45.71052203,0.0310861,0
79,12.76,33.34,7.57,13.63,46.87457997,0.0311109,0
78,12.84,31.58,6.01,13.24,47.28936646,0.0310185,0
79,12.7,31.01,4.38,13.63,46.56780872,0.0310251,0
80,12.5,30.71,4.25,13.54,45.55328898,0.0311087,0
72,14.27,126.84,4.99,67.83,54.69782786,0.0311345,0
65,15.53,126.84,4.73,67.6,61.46819087,0.0311612,0
58,17.93,110.21,6.81,56.76,74.68839188,0.0311293,0
20,49.99,67.14,33.28,16.93,282.0865145,0.0312198,0
20,50.75,68.33,32.52,17.9,287.5442301,0.0311692,0
20,50.02,93.01,7.38,42.81,282.306198,0.0306937,0
